date,open,high,low,close,volume
1665446400000,19124.1,19125.7,19075.8,19096.4,1638.099
1665446460000,19095.6,19109.1,19062.9,19074.0,1871.499
1665446520000,19074.0,19106.7,19074.0,19104.9,1020.585
1665446580000,19105.0,19105.0,19040.0,19048.7,2467.803
1665446640000,19048.5,19084.7,19048.2,19072.9,1074.865
1665446700000,19072.9,19073.0,19038.4,19051.0,1032.124
1665446760000,19051.1,19060.0,19045.7,19054.6,1092.317
1665446820000,19054.7,19056.2,19035.3,19053.9,1162.0
1665446880000,19054.0,19054.0,18985.0,19027.2,4803.611
1665446940000,19027.3,19048.5,19023.4,19023.5,879.503
1665447000000,19023.5,19041.7,19019.9,19041.6,657.843
1665447060000,19041.7,19042.0,19020.0,19029.5,831.459
1665447120000,19029.6,19044.1,18942.9,18942.9,9406.67
1665447180000,18942.9,18972.8,18935.7,18971.3,3578.294
1665447240000,18971.3,18992.6,18958.1,18977.9,1736.533
1665447300000,18977.9,18998.5,18958.1,18998.3,1423.937
1665447360000,18998.2,19031.4,18985.6,19005.8,1906.915
1665447420000,19005.8,19012.8,18992.3,19010.0,765.663
1665447480000,19010.0,19025.8,19006.0,19016.8,967.852
1665447540000,19016.9,19016.9,18987.0,19001.0,780.786
1665447600000,19001.1,19016.8,19001.0,19007.6,457.117
1665447660000,19007.6,19015.7,19001.0,19010.8,590.417
1665447720000,19010.8,19011.6,18994.4,19002.1,349.724
1665447780000,19002.1,19002.1,18990.0,18996.7,537.803
1665447840000,18996.8,19002.1,18987.0,18989.5,417.912
1665447900000,18989.6,18994.1,18968.3,18973.0,593.957
1665447960000,18973.0,18999.9,18968.1,18998.9,821.65
1665448020000,18998.9,19002.1,18992.6,19002.1,720.236
1665448080000,19002.1,19033.4,19002.0,19032.0,1157.194
1665448140000,19032.0,19033.4,19025.8,19026.7,416.86
1665448200000,19026.7,19030.0,19018.8,19029.9,357.483
1665448260000,19029.8,19050.0,19026.7,19048.9,648.607
1665448320000,19049.0,19059.9,19047.6,19049.0,1096.502
1665448380000,19049.0,19059.9,19046.5,19046.6,848.284
1665448440000,19046.6,19061.0,19041.8,19057.0,561.542
1665448500000,19057.0,19057.1,19042.0,19045.4,355.549
1665448560000,19045.4,19051.6,19039.0,19043.6,308.158
1665448620000,19043.6,19054.9,19040.0,19040.1,326.33
1665448680000,19040.0,19053.3,19031.7,19050.4,489.617
1665448740000,19050.3,19051.2,19039.0,19042.1,193.299
1665448800000,19042.0,19044.0,19032.7,19032.8,174.457
1665448860000,19032.7,19037.6,19032.6,19037.5,161.328
1665448920000,19037.5,19043.5,19022.0,19023.1,358.887
1665448980000,19023.1,19031.6,19023.1,19031.5,184.937
1665449040000,19031.5,19043.7,19031.5,19036.4,323.127
1665449100000,19036.4,19045.3,19025.3,19025.3,197.044
1665449160000,19025.4,19027.4,19010.0,19010.0,426.874
1665449220000,19010.0,19013.3,18990.8,19002.7,899.36
1665449280000,19002.7,19012.0,19001.4,19008.6,421.627
1665449340000,19008.5,19009.1,19001.4,19009.0,237.969
1665449400000,19009.1,19030.5,19009.0,19030.4,371.858
1665449460000,19030.4,19040.0,19030.0,19035.6,430.837
1665449520000,19035.5,19049.7,19035.5,19046.2,429.75
1665449580000,19046.3,19047.9,19035.5,19037.3,291.097
1665449640000,19037.4,19043.2,19037.3,19038.9,141.91
1665449700000,19038.9,19042.9,19027.6,19028.8,207.069
1665449760000,19028.7,19033.5,19023.4,19028.4,252.014
1665449820000,19028.5,19030.7,19023.4,19027.7,137.487
1665449880000,19027.7,19035.5,19018.9,19027.8,461.084
