date,open,high,low,close,volume
1662998400000,1.2791,1.2808,1.2486,1.2724,4420.6413
1663012800000,1.2724,1.2779,1.2587,1.2684,5760.5562
1663027200000,1.2684,1.2684,1.2329,1.2561,2109.563
1663041600000,1.2561,1.2794,1.2533,1.2788,2259.71425
1663056000000,1.2788,1.2809,1.2498,1.2741,14793.5162
1663070400000,1.2741,1.2806,1.1783,1.1894,17386.71875
1663084800000,1.1894,1.2244,1.1759,1.2132,6314.57755
1663099200000,1.2132,1.2181,1.169,1.1694,8276.2163
1663113600000,1.1694,1.2007,1.1637,1.1978,5267.32175
1663128000000,1.1978,1.2062,1.1644,1.1824,2050.12945
1663142400000,1.1824,1.1926,1.1702,1.1882,3781.48395
1663156800000,1.1882,1.2013,1.1721,1.1923,1943.11915
1663171200000,1.1923,1.1938,1.1556,1.1732,3873.9282
1663185600000,1.1732,1.1973,1.1712,1.1892,629.80705
1663200000000,1.1892,1.1905,1.1244,1.1408,3730.1707
1663214400000,1.1408,1.1824,1.1267,1.172,721.93845
1663228800000,1.172,1.1744,1.1467,1.1551,265.21555
1663243200000,1.1551,1.1597,1.1082,1.1188,1344.77655
1663257600000,1.1188,1.1325,1.1173,1.1229,81.5982
1663272000000,1.1229,1.139,1.1063,1.1145,4630.3322
1663286400000,1.1145,1.1243,1.0942,1.1226,1814.5652
1663300800000,1.1226,1.1275,1.1198,1.1239,335.9247
1663315200000,1.1239,1.1404,1.1013,1.1392,6658.84045
1663329600000,1.1392,1.1398,1.1063,1.1334,392.27885
1663344000000,1.1334,1.1362,1.1113,1.1323,875.12245
1663358400000,1.1323,1.145,1.1285,1.1333,714.59565
1663372800000,1.1333,1.1496,1.1333,1.1347,7795.3004
1663387200000,1.1347,1.1418,1.1274,1.1362,361.62605
1663401600000,1.1362,1.1428,1.1213,1.1272,8773.43355
1663416000000,1.1272,1.1511,1.1269,1.1511,1299.4155
1663430400000,1.1511,1.161,1.1509,1.1602,144.6193
1663444800000,1.1602,1.1826,1.1588,1.1804,1652.06075
1663459200000,1.1804,1.1806,1.1503,1.159,340.1848
1663473600000,1.159,1.163,1.1528,1.1528,158.05845
1663488000000,1.1528,1.1567,1.1265,1.1333,11057.0897
1663502400000,1.1333,1.1351,1.1155,1.1188,1232.42195
1663516800000,1.1188,1.1218,1.0898,1.0994,535.09175
1663531200000,1.0994,1.1,0.9829,1.0281,20027.99855
1663545600000,1.0281,1.0456,1.0046,1.0158,2346.2727
1663560000000,1.0158,1.0332,1.0104,1.0248,2811.51345
1663574400000,1.0248,1.041,1.0179,1.0385,2599.5841
1663588800000,1.0385,1.0776,1.0372,1.0574,1979.17575
1663603200000,1.0574,1.0754,1.0511,1.0696,1674.9146
1663617600000,1.0696,1.0736,1.0638,1.067,1495.84615
1663632000000,1.067,1.0701,1.0487,1.0594,1342.9728
1663646400000,1.0594,1.0734,1.0565,1.0599,172.4429
1663660800000,1.0599,1.0648,1.046,1.0487,219.05215
1663675200000,1.0487,1.0701,1.0371,1.0695,655.23305
1663689600000,1.0695,1.0721,1.0447,1.0542,900.8581
1663704000000,1.0542,1.058,1.0305,1.0346,1830.08785
1663718400000,1.0346,1.0521,1.0321,1.0485,1567.11145
1663732800000,1.0485,1.0585,1.0154,1.0282,1391.4206
1663747200000,1.0282,1.0487,1.025,1.0485,973.1033
1663761600000,1.0485,1.0554,1.0355,1.0405,766.0314
1663776000000,1.0405,1.1081,1.0235,1.0589,12840.47905
1663790400000,1.0589,1.0589,0.9929,1.0118,3109.9449
1663804800000,1.0118,1.0366,1.0093,1.0312,871.1464
1663819200000,1.0312,1.0665,1.0312,1.0657,440.2107
1663833600000,1.0657,1.0897,1.0644,1.0868,4709.81525
