time,time,open,high,low,close,volume,Buy,Sell
1664844660000,1664844660000,19592.73,19599.48,19590.39,19595.85,103.43355,False,False
1664844720000,1664844720000,19597.04,19598.67,19576.02,19578.66,181.15261,False,False
1664844780000,1664844780000,19578.66,19582.99,19540.0,19540.0,462.36318,False,False
1664844840000,1664844840000,19544.03,19553.05,19528.97,19546.1,342.77985,False,False
1664844900000,1664844900000,19546.1,19566.46,19545.85,19562.16,164.06053,False,False
1664844960000,1664844960000,19561.3,19566.09,19550.59,19553.51,107.46832,True,False
1664845020000,1664845020000,19553.51,19555.69,19539.31,19554.85,142.50601,False,False
1664845080000,1664845080000,19554.24,19566.39,19552.03,19563.72,107.21052,False,False
1664845140000,1664845140000,19562.71,19569.26,19559.2,19562.41,101.10618,False,False
1664845200000,1664845200000,19562.41,19573.72,19556.21,19560.65,149.00669,False,False
1664845260000,1664845260000,19560.29,19562.09,19554.19,19556.21,85.06047,False,False
1664845320000,1664845320000,19556.21,19563.56,19555.18,19561.76,83.99247,False,False
1664845380000,1664845380000,19560.9,19562.0,19544.92,19550.95,174.85995,False,False
1664845440000,1664845440000,19550.95,19568.63,19549.63,19556.88,130.44331,False,False
1664845500000,1664845500000,19556.88,19577.16,19556.09,19573.24,129.71814,False,False
1664845560000,1664845560000,19574.05,19575.47,19565.47,19571.02,122.89613,False,False
1664845620000,1664845620000,19571.02,19572.35,19567.43,19567.45,69.90046,False,False
1664845680000,1664845680000,19567.45,19570.07,19558.22,19559.39,72.05404,False,False
1664845740000,1664845740000,19559.39,19574.95,19558.51,19571.53,113.49356,False,False
1664845800000,1664845800000,19571.53,19582.78,19570.47,19575.45,147.15718,False,False
1664845860000,1664845860000,19575.45,19575.45,19571.02,19573.47,66.46422,False,False
1664845920000,1664845920000,19572.71,19573.47,19548.69,19556.23,382.64707,False,False
1664845980000,1664845980000,19556.23,19558.73,19550.0,19557.64,74.15476,False,False
1664846040000,1664846040000,19558.65,19559.99,19553.58,19556.78,76.39682,False,False
1664846100000,1664846100000,19557.48,19563.98,19550.97,19552.23,101.30182,False,False
1664846160000,1664846160000,19553.39,19556.03,19549.53,19555.59,70.77871,False,False
1664846220000,1664846220000,19555.59,19565.43,19550.0,19563.62,142.56541,False,False
1664846280000,1664846280000,19563.71,19564.45,19558.63,19562.49,76.92588,False,False
1664846340000,1664846340000,19561.75,19570.45,19559.35,19560.89,114.50769,False,False
1664846400000,1664846400000,19562.04,19563.32,19554.37,19554.63,55.22295,False,False
1664846460000,1664846460000,19554.63,19568.34,19554.63,19567.64,95.84852,False,False
1664846520000,1664846520000,19567.64,19568.1,19553.14,19556.87,79.65964,False,False
1664846580000,1664846580000,19556.86,19561.06,19554.67,19559.52,49.53208,False,False
1664846640000,1664846640000,19559.53,19561.29,19535.73,19540.07,265.83331,False,False
1664846700000,1664846700000,19541.38,19559.04,19540.1,19557.9,136.25467,False,False
1664846760000,1664846760000,19557.9,19561.75,19553.3,19556.05,60.95099,False,False
1664846820000,1664846820000,19556.05,19556.28,19542.97,19547.5,91.86748,False,False
1664846880000,1664846880000,19547.5,19556.3,19543.64,19552.71,106.58146,False,False
1664846940000,1664846940000,19551.9,19552.75,19545.62,19550.39,64.86248,False,False
1664847000000,1664847000000,19550.29,19555.9,19546.9,19553.31,103.32136,False,False
1664847060000,1664847060000,19553.31,19563.19,19549.72,19554.12,146.5444,False,False
1664847120000,1664847120000,19555.15,19556.97,19548.77,19551.21,70.51771,False,False
1664847180000,1664847180000,19551.21,19552.45,19546.42,19551.02,69.86644,False,False
1664847240000,1664847240000,19550.31,19551.7,19537.15,19544.45,157.23953,False,False
1664847300000,1664847300000,19544.45,19550.49,19543.87,19546.59,60.77459,False,False
1664847360000,1664847360000,19546.59,19554.25,19545.61,19550.75,84.28097,False,False
1664847420000,1664847420000,19550.75,19552.73,19546.53,19549.84,59.89506,False,False
1664847480000,1664847480000,19549.84,19552.92,19544.49,19550.43,62.24626,False,False
1664847540000,1664847540000,19550.44,19554.36,19545.0,19551.44,79.32877,False,False
1664847600000,1664847600000,19552.6,19554.47,19546.59,19550.23,39.12365,False,False
1664847660000,1664847660000,19550.23,19555.71,19544.72,19550.26,74.11525,False,False
1664847720000,1664847720000,19550.26,19551.43,19543.7,19547.76,69.31585,False,False
1664847780000,1664847780000,19548.06,19549.98,19542.62,19546.07,67.28019,False,False
1664847840000,1664847840000,19546.75,19549.81,19544.87,19546.34,86.24151,False,False
1664847900000,1664847900000,19546.34,19549.01,19541.64,19543.9,88.09305,False,False
1664847960000,1664847960000,19544.4,19551.0,19543.26,19544.83,80.57451,False,False
1664848020000,1664848020000,19544.83,19557.9,19543.77,19555.71,141.67542,False,False
1664848080000,1664848080000,19555.72,19556.08,19548.12,19549.78,75.23461,False,False
1664848140000,1664848140000,19549.78,19554.78,19546.01,19547.74,101.59253,False,False
1664848200000,1664848200000,19548.55,19550.18,19544.98,19547.6,45.17051,False,False
1664848260000,1664848260000,19548.26,19548.26,19516.51,19523.25,225.19593,False,False
1664848320000,1664848320000,19524.52,19532.58,19522.05,19528.31,162.69797,False,False
1664848380000,1664848380000,19528.31,19538.83,19527.27,19534.11,125.52356,False,False
1664848440000,1664848440000,19534.11,19536.44,19523.56,19526.14,112.18633,False,False
1664848500000,1664848500000,19527.74,19532.63,19521.14,19522.0,133.57553,False,False
1664848560000,1664848560000,19522.0,19524.44,19512.84,19518.29,169.57136,False,False
1664848620000,1664848620000,19517.26,19527.48,19508.78,19522.62,175.41527,False,False
1664848680000,1664848680000,19522.62,19524.14,19501.11,19510.27,223.10195,False,False
1664848740000,1664848740000,19510.3,19517.46,19503.73,19505.43,175.33017,False,False
1664848800000,1664848800000,19505.43,19516.13,19490.6,19515.75,350.10511,True,False
1664848860000,1664848860000,19514.85,19524.24,19511.74,19522.17,160.52696,False,False
1664848920000,1664848920000,19522.17,19526.1,19510.63,19516.61,158.54929,False,False
1664848980000,1664848980000,19516.61,19526.26,19513.31,19525.65,122.3854,False,False
1664849040000,1664849040000,19525.65,19534.67,19522.3,19528.01,115.6305,False,False
1664849100000,1664849100000,19527.09,19529.31,19523.93,19526.13,76.61826,False,False
1664849160000,1664849160000,19525.54,19527.04,19514.05,19515.51,92.57575,False,False
1664849220000,1664849220000,19515.26,19527.83,19510.24,19527.73,136.23706,False,False
1664849280000,1664849280000,19527.73,19527.73,19514.66,19517.96,93.03122,False,False
1664849340000,1664849340000,19518.5,19521.68,19510.98,19512.42,90.68564,False,False
1664849400000,1664849400000,19513.62,19525.44,19508.38,19521.16,171.51717,False,False
1664849460000,1664849460000,19521.16,19524.58,19513.35,19517.88,101.73942,False,False
1664849520000,1664849520000,19517.88,19520.35,19509.02,19512.73,86.08709,False,False
1664849580000,1664849580000,19512.73,19514.38,19507.51,19509.2,56.73886,False,False
1664849640000,1664849640000,19509.68,19532.71,19506.13,19527.0,249.79079,False,False
1664849700000,1664849700000,19527.51,19537.92,19523.16,19536.02,185.57405,False,False
1664849760000,1664849760000,19536.02,19539.43,19519.9,19522.84,143.26522,False,False
1664849820000,1664849820000,19523.79,19528.93,19519.1,19522.22,89.26412,False,False
1664849880000,1664849880000,19521.31,19523.57,19510.0,19515.59,143.03441,False,False
1664849940000,1664849940000,19515.55,19526.57,19515.26,19524.85,113.26798,False,False
1664850000000,1664850000000,19524.85,19525.14,19515.75,19517.12,93.99541,False,False
1664850060000,1664850060000,19517.12,19523.5,19514.34,19518.28,81.3113,False,False
1664850120000,1664850120000,19518.28,19522.97,19517.17,19519.75,45.22964,False,False
1664850180000,1664850180000,19518.83,19520.22,19510.01,19513.18,76.96629,False,False
1664850240000,1664850240000,19513.27,19516.57,19509.64,19511.66,51.91487,False,False
1664850300000,1664850300000,19511.66,19515.59,19508.69,19513.85,88.23942,False,False
1664850360000,1664850360000,19512.5,19515.36,19509.22,19511.18,104.85138,False,False
